Waktu;Hari;Kelompok_Umur_Pengemudi;Jenis_Kelamin_Pengemudi;Pendidikan;Hubungan_Pengemudi_Kendaraan;Pengalaman_Mengemudi;Jenis_Kendaraan;Pemilik_Kendaraan;Usia_Kendaraan;Kerusakan_Kendaraan;Lokasi_Kecelakaan;Jalur_atau_Median;Kondisi_Jalan;Jenis_Persimpangan;Jenis_Permukaan_Jalan;Kondisi_Permukaan_Jalan;Kondisi_Pencahayaan;Kondisi_Cuaca;Jenis_Tabrakan;Jumlah_Kendaraan_Terlibat;Jumlah_Korban;Pergerakan_Kendaraan;Kelas_Korban;Jenis_Kelamin_Korban;Kelompok_Umur_Korban;Keparahan_Korban;Pekerjaan_Korban;Kondisi_Korban;Pergerakan_Pejalan_Kaki;Penyebab_Kecelakaan;Tingkat_Keparahan_Kecelakaan
352;0;1;0;2;0;4;5;1;5;2;8;2;2;4;0;3;3;6;2;3.0;1.0;1;3;2;3;3;6;3;4;0;1
352;0;0;0;2;0;3;2;1;5;2;8;0;2;4;0;3;3;6;2;3.0;1.0;2;1;0;0;1;6;3;4;17;1
167;5;0;0;2;0;1;13;2;5;2;12;5;2;0;0;3;3;6;6;1.0;1.0;1;2;1;0;2;3;3;4;16;0
1021;6;4;2;3;0;2;4;3;1;2;12;5;2;5;0;3;3;6;2;2.0;1.0;1;1;1;4;2;6;3;4;1;1
1021;6;3;0;3;0;2;2;1;5;2;12;0;2;5;0;3;3;6;2;2.0;1.0;1;3;2;3;3;6;3;4;2;1
441;4;1;0;3;0;0;13;1;4;2;12;5;2;6;4;0;3;6;2;1.0;1.0;4;0;0;5;2;3;1;4;7;1
34;2;0;0;3;0;2;7;1;5;2;9;0;2;6;0;3;2;6;2;1.0;3.0;2;3;2;3;3;3;3;4;6;1
34;2;0;0;2;0;0;3;1;1;2;2;0;2;6;0;3;2;6;2;1.0;3.0;1;1;0;0;2;6;3;4;7;1
34;2;0;0;2;0;2;3;1;1;2;8;3;2;6;0;3;2;6;7;1.0;3.0;1;2;0;5;2;6;3;4;6;1
324;3;1;0;3;2;0;11;1;1;2;2;5;2;5;0;3;3;6;2;1.0;1.0;4;3;2;3;3;3;3;4;17;1
497;4;4;0;2;0;2;2;1;1;2;12;2;2;4;0;0;2;3;2;2.0;1.0;9;1;0;4;2;3;3;4;6;1
497;4;0;0;2;0;1;13;1;5;2;12;5;2;4;0;0;2;3;6;2.0;1.0;1;1;0;1;2;3;3;4;0;1
864;0;1;0;2;0;1;13;1;0;2;11;5;8;6;0;0;0;6;2;1.0;1.0;1;1;0;4;2;3;3;4;13;0
151;4;0;2;2;0;2;14;1;2;2;8;2;0;5;3;3;3;6;2;1.0;1.0;1;1;0;4;2;3;3;4;6;1
